result,table,controller,site,power_factor_avg,units,current_l1,current_l2,current_l3,volts_l1_n,volts_l2_n,volts_l3_n,apparent_power_total,power_l1,power_l2,power_l3,power_total
0.0,2.0,0.0,0.0,0.78,0.0,0.64,0.55,0.715,233.35,231.86249999999998,233.4125,0.442862,0.1275645,0.1015615,0.1178675,0.34703475
0.0,2.0555555555555554,0.0,0.0,0.7885714285714286,0.0,0.6371428571428571,0.55,0.71,232.21428571428572,230.7,232.2,0.43888985714285716,0.1268682857142857,0.101214,0.11744585714285714,0.3455947142857143
0.0,2.0,0.0,0.0,0.7885714285714286,0.0,0.6328571428571428,0.55,0.7114285714285714,232.1,230.4857142857143,232.05714285714288,0.43843585714285715,0.12675542857142857,0.10111757142857143,0.11702900000000001,0.34473985714285715
0.0,2.0,0.0,0.0,0.78,0.0,0.64,0.5525,0.72,234.5,233.025,234.55,0.447199875,0.128359375,0.1020235,0.1187755,0.349107
0.0,2.0555555555555554,0.0,0.0,0.78,0.0,0.64,0.55,0.72,234.15714285714284,232.6,234.21428571428572,0.4467751428571428,0.12830514285714284,0.10202314285714285,0.11862642857142856,0.34886357142857144
0.0,2.0,0.0,0.0,0.7871428571428571,0.0,0.6542857142857142,0.5557142857142858,0.72,234.5142857142857,233.04285714285714,234.58571428571426,0.45110742857142855,0.133229,0.10218814285714285,0.11879628571428572,0.35375000000000006
0.0,2.0238095238095237,0.0,0.0,0.79,0.0,0.66,0.55,0.72,234.4375,232.9375,234.5,0.45221337500000003,0.13524387499999999,0.102018125,0.11868175,0.3562975
0.0,2.054054054054054,0.0,0.0,0.79,0.0,0.66,0.55,0.72,233.85714285714286,232.3857142857143,233.94285714285715,0.45112771428571424,0.13532642857142857,0.10201714285714285,0.11848871428571428,0.35568057142857146
0.0,2.0238095238095237,0.0,0.0,0.79,0.0,0.6687500000000001,0.55,0.71375,233.25,231.76250000000002,233.4125,0.45051237499999996,0.1360315,0.101895375,0.117983875,0.355587875
0.0,2.0,0.0,0.0,0.79,0.0,0.67,0.55,0.7128571428571429,233.07142857142858,231.71428571428572,233.29999999999998,0.45049085714285714,0.13603685714285715,0.10166414285714286,0.11789514285714287,0.35574957142857144
0.0,2.0,0.0,0.0,0.79,0.0,0.67,0.55,0.71375,233.13750000000002,231.7125,233.275,0.450169125,0.136279875,0.101654,0.117969,0.3557595
0.0,2.0,0.0,0.0,0.7914285714285715,0.0,0.67,0.5485714285714286,0.7128571428571429,233.04285714285714,231.58571428571426,233.20000000000002,0.449435,0.13598914285714286,0.10132585714285715,0.117815,0.35502799999999995
0.0,2.0,0.0,0.0,0.7933333333333333,0.0,0.67,0.54,0.71,232.98333333333332,231.5666666666667,233.08333333333334,0.446605,0.1364115,0.10034933333333333,0.11762033333333333,0.3543885
0.0,1.975609756097561,0.0,0.0,0.79,0.0,0.67,0.54,0.71,232.9625,231.55,233.175,0.446817,0.1363755,0.100361875,0.117554875,0.35497887499999997
